NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,flag_year_typo,flag_retroactive,flag_valid,lead_days,lead_days_short,layoff_count,company_normalized,same_company_cluster,county_warn_count,wda_warn_count,notice_year,notice_quarter,notice_month,industry_score,industry_final,industry_source
2024-05-02,Aramark Baylor(1919 S.First Street),McLennan,Heart of Texas WDA,2024-05-31,2024-05-02,Waco,0,0,1,29,1,691,ARAMARK BAYLOR,1,24,34,2024,2024Q2,2024-05,6,Staffing_Services,stage1
2024-05-02,GoldStar Transit(Robinson Independent School District),McLennan,Heart of Texas WDA,2024-06-01,2024-05-02,Robinson,0,0,1,30,1,500,GOLDSTAR TRANSIT,1,24,34,2024,2024Q2,2024-05,8,Public_Nonprofit,stage1
2024-05-02,TATA Consultancy Services Limited 2024(Austin),Williamson,Rural Capital WDA,2024-04-15,2024-05-02,Austin,0,1,0,,,21,TATA CONSULTANCY SERVICES LIMITED 2024,1,35,67,2024,2024Q2,2024-05,0,Unknown,unresolved
2024-05-02,E4D Technologies,Collin,North Central Texas WDA,2024-05-01,2024-05-02,Richardson,0,1,0,,,67,E4D TECHNOLOGIES,0,92,185,2024,2024Q2,2024-05,2,Technology_IT,stage1
2024-05-02,Westlake Royal Building Products,Dallas,Dallas County WDA,2024-05-04,2024-05-02,Carrollton,0,0,1,2,1,260,WESTLAKE ROYAL BUILDING PRODUCTS,0,330,325,2024,2024Q2,2024-05,0,Unknown,unresolved
2024-07-05,ShipBob Inc. (Grapevine),Dallas,Dallas County WDA,2024-09-19,2024-07-05,Grapevine,0,0,1,76,0,48,SHIPBOB,1,330,325,2024,2024Q3,2024-07,0,Unknown,unresolved
2024-07-05,ShipBob Inc. (Dallas Hub),Dallas,Dallas County WDA,2024-09-19,2024-07-05,Dallas,0,0,1,76,0,3,SHIPBOB,1,330,325,2024,2024Q3,2024-07,2,Logistics_Transportation,stage1
2024-07-03,"ISS Action, Inc.",Cameron,Cameron County WDA,2024-08-31,2024-07-03,Harlingen,0,0,1,59,1,197,ISS ACTION,0,37,38,2024,2024Q3,2024-07,2,Staffing_Services,stage1
2024-06-30,"Zachry Industrial, Inc. (Baytown) Updated",Chambers,Gulf Coast WDA,2024-08-31,2024-06-30,Baytown,0,0,1,62,0,28,ZACHRY INDUSTRIAL UPDATED,1,4,608,2024,2024Q2,2024-06,6,Construction_Real_Estate,stage1
2024-06-30,"Zachry Industrial, Inc. (Sabine Pass) Updated",Jefferson,South East Texas WDA,2024-08-31,2024-06-30,Sabine Pass,0,0,1,62,0,33,ZACHRY INDUSTRIAL UPDATED,1,20,27,2024,2024Q2,2024-06,6,Construction_Real_Estate,stage1
2024-06-30,"Zachry Industrial, Inc. (Orange) Updated",Orange,South East Texas WDA,2024-06-30,2024-06-30,Orange,0,0,1,0,1,32,ZACHRY INDUSTRIAL UPDATED,1,8,27,2024,2024Q2,2024-06,6,Construction_Real_Estate,stage1
2024-06-30,"Zachry Industrial, Inc. (Beaumont) Updated",Jefferson,South East Texas WDA,2024-08-31,2024-06-30,Beaumont,0,0,1,62,0,33,ZACHRY INDUSTRIAL UPDATED,1,20,27,2024,2024Q2,2024-06,6,Construction_Real_Estate,stage1
2024-06-27,New Options Sports,Dallas,Dallas County WDA,2024-08-26,2024-06-27,Farmers Branch,0,0,1,60,0,45,NEW OPTIONS SPORTS,0,330,325,2024,2024Q2,2024-06,2,Logistics_Transportation,stage1
2024-06-25,Southeast Service Corporation Services For Education,Kleberg,Coastal Bend WDA,2024-08-02,2024-06-25,Kingsville,0,0,1,38,1,95,SOUTHEAST SERVICE CORPORATION SERVICES FOR EDUCATION,1,1,26,2024,2024Q2,2024-06,2,Public_Nonprofit,stage1
2024-06-24,"Ardagh Glass Packaging, Inc.",Harris,Gulf Coast WDA,2024-07-01,2024-06-24,Houston,0,0,1,7,1,220,ARDAGH GLASS PACKAGING,0,429,608,2024,2024Q2,2024-06,2,Manufacturing,stage1
2024-06-20,HII Mission Technologies (HII Defense and Federal Solutions),Bexar,Alamo WDA,2024-07-31,2024-06-20,San Antonio,0,0,1,41,1,57,HII MISSION TECHNOLOGIES,1,200,238,2024,2024Q2,2024-06,4,Technology_IT,ambiguous_resolved
2024-06-17,Compass Group / Fresh & Ready Foods,Dallas,Dallas County WDA,2024-08-30,2024-06-17,Dallas,0,0,1,74,0,65,COMPASS GROUP / FRESH READY FOODS,1,330,325,2024,2024Q2,2024-06,6,Staffing_Services,stage1
2024-06-14,Charter Communications (Austin),Travis,Capital Area WDA,2024-08-15,2024-06-14,Austin,0,0,1,62,0,230,CHARTER COMMUNICATIONS,0,169,166,2024,2024Q2,2024-06,0,Unknown,unresolved
2024-06-14,CoreCivic (South Texas Family Residential Center),Frio,Alamo WDA,2024-08-13,2024-06-14,Dilley,0,0,1,60,0,433,CORECIVIC,0,6,238,2024,2024Q2,2024-06,2,Public_Nonprofit,stage1
2024-06-13,Target Hospitality (Dilley South Texas Family Residential Center),Frio,Alamo WDA,2024-08-12,2024-06-13,Dilley,0,0,1,60,0,95,TARGET HOSPITALITY,0,6,238,2024,2024Q2,2024-06,6,Healthcare,ambiguous_resolved
2024-06-12,Coach USA (Kerrvile Bus Company),Bexar,Alamo WDA,2024-09-03,2024-06-12,San Antonio,0,0,1,83,0,50,COACH USA,0,200,238,2024,2024Q2,2024-06,0,Unknown,unresolved
2024-06-11,Hunter Douglas Fabrication Company (Custom Brands Group) Updated,Collin,North Central Texas WDA,2024-09-13,2024-06-11,McKinney,0,0,1,94,0,53,HUNTER DOUGLAS FABRICATION COMPANY UPDATED,0,92,185,2024,2024Q2,2024-06,12,Manufacturing,stage1
2024-06-10,"Intrepid U.S.A., Inc.",Dallas,Dallas County WDA,2024-08-05,2024-06-10,Dallas,0,0,1,56,1,102,INTREPID U S A,0,330,325,2024,2024Q2,2024-06,2,Healthcare,stage1
2024-08-14,Conn's HomePlus (Grand Prairie),Dallas,Dallas County WDA,2024-10-07,2024-08-14,Grand Prairie,0,0,1,54,1,16,CONN S HOMEPLUS,0,330,325,2024,2024Q3,2024-08,0,Unknown,unresolved
2024-08-12,"Arbor E & T, LLC Equus Workforce Solutions San Marcos Office",Hays,Rural Capital WDA,2024-09-30,2024-08-12,San Marcos,0,0,1,49,1,17,ARBOR E T EQUUS WORKFORCE SOLUTIONS SAN MARCOS OFFICE,0,18,67,2024,2024Q3,2024-08,2,Technology_IT,stage1
